3,Newcastle BAGS,Race 7,3:53,Target Nisbet,4,51.4,48.6,"Cramped odds expected, with good reason though"
0,Newcastle BAGS,Race 7,3:53,That Oldchestnut,1,48.6,51.4,"Trap wins-to-runs record isn't great, unfancied"
5,Newcastle BAGS,Race 7,3:53,Best Feature (W,6,41.4,58.6,"Seems reasonably well in at the weights, go close"
2,Newcastle BAGS,Race 7,3:53,Blackhouse Luigi,3,40.8,59.2,"Needs to hold pitch through early going, not easy"
1,Newcastle BAGS,Race 7,3:53,Vics Paddys,2,39.0,61.0,Odds look irresistible but they're big for a reason
4,Newcastle BAGS,Race 7,3:53,Wath Mercury,5,37.3,62.7,"Looking to blaze the trail, therein lies chance"
0,Doncaster SIS,Race 7,3:57,Dunham Orlando,1,46.0,54.0,"Throws hat into the ring sooner than most, go well"
4,Doncaster SIS,Race 7,3:57,Sive The Lady (W,5,45.2,54.8,"One of the better bets today, worth an interest"
3,Doncaster SIS,Race 7,3:57,Poolie Charlie,4,37.9,62.1,"Several of these will be tough to beat, may struggle"
1,Doncaster SIS,Race 7,3:57,Bellagio Belle,2,36.0,64.0,"Timewise has a shout, looks a medal candidate"
5,Doncaster SIS,Race 7,3:57,In The Life (W,6,35.4,64.6,Would have finished closer without hassle latest
2,Doncaster SIS,Race 7,3:57,Millcroft Jack,3,33.4,66.6,"Lack involvement at finish, that's where its needed"
3,Henlow SIS,Race 5,4:07,Westmead Suzie (M,4,43.9,56.1,Far enough out of season to be respected
1,Henlow SIS,Race 5,4:07,Society St Ned,2,43.6,56.4,"Loves life at this level, give plenty of respect"
2,Henlow SIS,Race 5,4:07,A Tiny Horse,3,43.3,56.7,"Makes only limited appeal, best watched"
0,Henlow SIS,Race 5,4:07,Savana Rocket,1,43.1,56.9,"Cast iron claims to produce a gold run, backable"
4,Henlow SIS,Race 5,4:07,Noelles Rosario (M,5,37.3,62.7,Overall profile points to being one of the 'rags' today
5,Henlow SIS,Race 5,4:07,Potman (W,6,33.0,67.0,"On good terms with self now, grader spoilt party?"
1,Newcastle BAGS,Race 8,4:14,R1)  Blackhouse Susie,2,37.3,62.7,"Looking to be a 'boil over', please don't!"
0,Newcastle BAGS,Race 8,4:14,R4)  Her Bar Stool,1,33.0,67.0,"We're anticipating a big race, don't shirk the issue"
4,Newcastle BAGS,Race 8,4:14,R1)  Ashbank Chloe (W,5,32.8,67.2,"Above-average claims, odds could tumble"
2,Newcastle BAGS,Race 8,4:14,R1)  Target Slick,3,32.5,67.5,May not get much change out of these rivals
